year,forest_pixels,deforested_pixels,non_forest_pixels,no_data_pixels,forest_pct,deforested_pct,non_forest_pct,no_data_pct,forest_area_km2,deforested_area_km2,non_forest_area_km2,no_data_area_km2
2003,374504,26866,9200,717856,33.188175387663875,2.3808384422195163,0.8152949329419918,63.61569123717461,374504.0,26866.0,9200.0,717856.0
2004,373614,27756,9200,717856,33.10930446480319,2.459709365080209,0.8152949329419918,63.61569123717461,373614.0,27756.0,9200.0,717856.0
2005,372700,28670,9200,717856,33.02830668559569,2.540707144287707,0.8152949329419918,63.61569123717461,372700.0,28670.0,9200.0,717856.0
2006,371828,29542,9200,717856,32.9510309049951,2.6179829248882958,0.8152949329419918,63.61569123717461,371828.0,29542.0,9200.0,717856.0
2007,370933,30437,9200,717856,32.871716887062156,2.6972969428212394,0.8152949329419918,63.61569123717461,370933.0,30437.0,9200.0,717856.0
2008,369960,31410,9200,717856,32.7854905860021,2.7835232438813002,0.8152949329419918,63.61569123717461,369960.0,31410.0,9200.0,717856.0
2009,368996,32374,9200,717856,32.70006185607209,2.868951973811309,0.8152949329419918,63.61569123717461,368996.0,32374.0,9200.0,717856.0
2010,368020,33350,9200,717856,32.61356969796868,2.9554441319147204,0.8152949329419918,63.61569123717461,368020.0,33350.0,9200.0,717856.0
2011,367026,34344,9200,717856,32.52548239760516,3.0435314322782356,0.8152949329419918,63.61569123717461,367026.0,34344.0,9200.0,717856.0
2012,366039,35331,9200,717856,32.4380154303428,3.130998399540599,0.8152949329419918,63.61569123717461,366039.0,35331.0,9200.0,717856.0
2013,365038,36332,9200,717856,32.34930779687813,3.219706033005266,0.8152949329419918,63.61569123717461,365038.0,36332.0,9200.0,717856.0
2014,363986,37384,9200,717856,32.2560805936765,3.3129332362068933,0.8152949329419918,63.61569123717461,363986.0,37384.0,9200.0,717856.0
2015,362922,38448,9200,717856,32.16178996230148,3.4072238675819237,0.8152949329419918,63.61569123717461,362922.0,38448.0,9200.0,717856.0
2016,361798,39572,9200,717856,32.06218219005943,3.506831639823967,0.8152949329419918,63.61569123717461,361798.0,39572.0,9200.0,717856.0
2017,360686,40684,9200,717856,31.96363784599079,3.605375983892608,0.8152949329419918,63.61569123717461,360686.0,40684.0,9200.0,717856.0
2018,359574,41796,9200,717856,31.865093501922146,3.7039203279612485,0.8152949329419918,63.61569123717461,359574.0,41796.0,9200.0,717856.0
2019,358466,42904,9200,717856,31.76690363391131,3.8021101959720887,0.8152949329419918,63.61569123717461,358466.0,42904.0,9200.0,717856.0
2020,357299,44071,9200,717856,31.663485244047905,3.905528585835491,0.8152949329419918,63.61569123717461,357299.0,44071.0,9200.0,717856.0
2021,356100,45270,9200,717856,31.557231045722094,4.011782784161301,0.8152949329419918,63.61569123717461,356100.0,45270.0,9200.0,717856.0
2022,354923,46447,9200,717856,31.45292646571419,4.116087364169205,0.8152949329419918,63.61569123717461,354923.0,46447.0,9200.0,717856.0
2023,353731,47639,9200,717856,31.347292600489528,4.2217212293938635,0.8152949329419918,63.61569123717461,353731.0,47639.0,9200.0,717856.0
2024,352532,48838,9200,717856,31.241038402163724,4.327975427719673,0.8152949329419918,63.61569123717461,352532.0,48838.0,9200.0,717856.0
2025,351334,50036,9200,717856,31.134872822852362,4.434141007031032,0.8152949329419918,63.61569123717461,351334.0,50036.0,9200.0,717856.0
2026,350159,51211,9200,717856,31.030745480873357,4.538268349010037,0.8152949329419918,63.61569123717461,350159.0,51211.0,9200.0,717856.0
2027,348924,52446,9200,717856,30.92130099802734,4.6477128318560545,0.8152949329419918,63.61569123717461,348924.0,52446.0,9200.0,717856.0
2028,347660,53710,9200,717856,30.809286563762267,4.7597272661211285,0.8152949329419918,63.61569123717461,347660.0,53710.0,9200.0,717856.0
2029,346425,54945,9200,717856,30.69984208091625,4.869171748967145,0.8152949329419918,63.61569123717461,346425.0,54945.0,9200.0,717856.0
2030,345096,56274,9200,717856,30.58206741071191,4.986946419171483,0.8152949329419918,63.61569123717461,345096.0,56274.0,9200.0,717856.0
2031,343794,57576,9200,717856,30.46668545389773,5.102328375985666,0.8152949329419918,63.61569123717461,343794.0,57576.0,9200.0,717856.0
2032,342445,58925,9200,717856,30.34713840340439,5.2218754264790075,0.8152949329419918,63.61569123717461,342445.0,58925.0,9200.0,717856.0
2033,341136,60234,9200,717856,30.231136113489054,5.33787771639434,0.8152949329419918,63.61569123717461,341136.0,60234.0,9200.0,717856.0
2034,339788,61582,9200,717856,30.111677682010164,5.4573361478732325,0.8152949329419918,63.61569123717461,339788.0,61582.0,9200.0,717856.0
2035,338386,62984,9200,717856,29.98743382375096,5.581580006132436,0.8152949329419918,63.61569123717461,338386.0,62984.0,9200.0,717856.0
2036,336967,64403,9200,717856,29.8616834422461,5.707330387637293,0.8152949329419918,63.61569123717461,336967.0,64403.0,9200.0,717856.0
2037,335537,65833,9200,717856,29.734958251582295,5.834055578301102,0.8152949329419918,63.61569123717461,335537.0,65833.0,9200.0,717856.0
2038,334063,67307,9200,717856,29.604333824282676,5.964680005600722,0.8152949329419918,63.61569123717461,334063.0,67307.0,9200.0,717856.0
2039,332611,68759,9200,717856,29.47565901530096,6.093354814582437,0.8152949329419918,63.61569123717461,332611.0,68759.0,9200.0,717856.0
2040,331115,70255,9200,717856,29.343084969683435,6.22592886019996,0.8152949329419918,63.61569123717461,331115.0,70255.0,9200.0,717856.0
2041,329617,71753,9200,717856,29.21033368603701,6.358680143846385,0.8152949329419918,63.61569123717461,329617.0,71753.0,9200.0,717856.0
2042,328113,73257,9200,717856,29.077050688303885,6.49196314157951,0.8152949329419918,63.61569123717461,328113.0,73257.0,9200.0,717856.0
2043,326576,74794,9200,717856,28.940843263093903,6.628170566789493,0.8152949329419918,63.61569123717461,326576.0,74794.0,9200.0,717856.0
2044,325036,76334,9200,717856,28.804369980840573,6.764643849042826,0.8152949329419918,63.61569123717461,325036.0,76334.0,9200.0,717856.0
2045,323485,77885,9200,717856,28.66692188942828,6.9020919404551115,0.8152949329419918,63.61569123717461,323485.0,77885.0,9200.0,717856.0
2046,321914,79456,9200,717856,28.52770141772699,7.041312412156402,0.8152949329419918,63.61569123717461,321914.0,79456.0,9200.0,717856.0
2047,320350,81020,9200,717856,28.389101279126855,7.179912550756542,0.8152949329419918,63.61569123717461,320350.0,81020.0,9200.0,717856.0
2048,318739,82631,9200,717856,28.246336046847553,7.32267778303584,0.8152949329419918,63.61569123717461,318739.0,82631.0,9200.0,717856.0
2049,317130,84240,9200,717856,28.103748052597155,7.4652657772862385,0.8152949329419918,63.61569123717461,317130.0,84240.0,9200.0,717856.0
2050,315523,85847,9200,717856,27.96133729637566,7.607676533507736,0.8152949329419918,63.61569123717461,315523.0,85847.0,9200.0,717856.0
